ASV_ID	genus	species	marker_gene	reference_hit	percent_identity
ASV_211	Unclassified	Unclassified	NA	NA	NA
ASV_212	Escherichia	coli	16S	Escherichia_coli_16S_4x_1-3-5-8	83.40
ASV_213	Unclassified	Unclassified	NA	NA	NA
ASV_214	Unclassified	Unclassified	NA	NA	NA
ASV_215	Unclassified	Unclassified	NA	NA	NA
ASV_216	Unclassified	Unclassified	NA	NA	NA
ASV_217	Pseudomonas	aeruginosa	16S	Pseudomonas_aeruginosa_16S_4x_1-2-3-4	83.40
ASV_218	Unclassified	Unclassified	NA	NA	NA
ASV_219	Pseudomonas	aeruginosa	16S	Pseudomonas_aeruginosa_16S_4x_1-2-3-4	81.40
ASV_220	Unclassified	Unclassified	NA	NA	NA
ASV_221	Escherichia	coli	16S	Escherichia_coli_16S_4x_1-3-5-8	81.40
ASV_222	Unclassified	Unclassified	NA	NA	NA
ASV_223	Unclassified	Unclassified	NA	NA	NA
ASV_224	Unclassified	Unclassified	NA	NA	NA
ASV_225	Unclassified	Unclassified	NA	NA	NA
ASV_226	Unclassified	Unclassified	NA	NA	NA
ASV_227	Pseudomonas	aeruginosa	16S	Pseudomonas_aeruginosa_16S_4x_1-2-3-4	96.00
ASV_228	Unclassified	Unclassified	NA	NA	NA
ASV_229	Unclassified	Unclassified	NA	NA	NA
ASV_230	Unclassified	Unclassified	NA	NA	NA
ASV_231	Unclassified	Unclassified	NA	NA	NA
ASV_232	Unclassified	Unclassified	NA	NA	NA
ASV_233	Unclassified	Unclassified	NA	NA	NA
ASV_234	Unclassified	Unclassified	NA	NA	NA
ASV_235	Bacillus	subtilis	16S	Bacillus_subtilis_16S_7	83.00
ASV_236	Unclassified	Unclassified	NA	NA	NA
ASV_237	Unclassified	Unclassified	NA	NA	NA
ASV_238	Unclassified	Unclassified	NA	NA	NA
ASV_239	Unclassified	Unclassified	NA	NA	NA
ASV_240	Unclassified	Unclassified	NA	NA	NA
ASV_241	Unclassified	Unclassified	NA	NA	NA
ASV_242	Unclassified	Unclassified	NA	NA	NA
ASV_243	Unclassified	Unclassified	NA	NA	NA
ASV_244	Unclassified	Unclassified	NA	NA	NA
ASV_245	Unclassified	Unclassified	NA	NA	NA
ASV_246	Enterococcus	faecalis	16S	Enterococcus_faecalis_16S_4x_1-2-3-4	81.00
ASV_247	Unclassified	Unclassified	NA	NA	NA
ASV_248	Unclassified	Unclassified	NA	NA	NA
ASV_249	Unclassified	Unclassified	NA	NA	NA
ASV_250	Unclassified	Unclassified	NA	NA	NA
ASV_251	Unclassified	Unclassified	NA	NA	NA
ASV_252	Unclassified	Unclassified	NA	NA	NA
ASV_253	Unclassified	Unclassified	NA	NA	NA
ASV_254	Unclassified	Unclassified	NA	NA	NA
ASV_255	Pseudomonas	aeruginosa	16S	Pseudomonas_aeruginosa_16S_4x_1-2-3-4	82.20
ASV_256	Pseudomonas	aeruginosa	16S	Pseudomonas_aeruginosa_16S_4x_1-2-3-4	87.70
ASV_257	Unclassified	Unclassified	NA	NA	NA
ASV_258	Unclassified	Unclassified	NA	NA	NA
ASV_259	Unclassified	Unclassified	NA	NA	NA
ASV_260	Unclassified	Unclassified	NA	NA	NA
ASV_261	Pseudomonas	aeruginosa	16S	Pseudomonas_aeruginosa_16S_4x_1-2-3-4	86.60
ASV_262	Unclassified	Unclassified	NA	NA	NA
ASV_263	Escherichia	coli	16S	Escherichia_coli_16S_4x_1-3-5-8	83.00
ASV_264	Unclassified	Unclassified	NA	NA	NA
ASV_265	Unclassified	Unclassified	NA	NA	NA
ASV_266	Unclassified	Unclassified	NA	NA	NA
ASV_267	Unclassified	Unclassified	NA	NA	NA
